sample_number,sample_date,lead_amount_ppm
1585602,2014-05-22,0.00101
1586269,2014-05-22,1.17e-4
1585363,2014-05-22,6.76e-4
1585518,2014-05-22,0.00659
1584877,2014-05-22,1.64e-4
1584916,2014-05-22,8.76e-5
1587893,2014-05-22,0.00168
1586136,2014-05-22,0.0027
1585625,2014-05-22,5e-5
1585537,2014-05-22,0.00525
1585539,2014-05-22,4.16e-4
1585554,2014-05-22,0.00102
1585737,2014-05-22,5e-5
1587831,2014-05-22,0.00812
1584739,2014-05-22,1.55e-4
1584804,2014-05-22,2.28e-4
1584885,2014-05-22,1.19e-4
1586530,2014-05-22,8.07e-4
1584809,2014-05-22,8.01e-5
1584914,2014-05-22,8.27e-5
1586299,2014-05-22,1.01e-4
1584893,2014-05-22,0.00101
1587924,2014-05-22,4.92e-4
1585587,2014-05-22,8.57e-4
1585512,2014-05-22,5e-5
1585728,2014-05-22,0.00322
1584677,2014-05-22,5.95e-5
1583937,2014-05-22,5.45e-4
1585634,2014-05-22,6.46e-5
1584915,2014-05-22,1.21e-4
1584917,2014-05-22,0.00875
1585014,2014-05-22,2.45e-4
1585356,2014-05-22,0.00473
1586271,2014-05-22,0.00884
1585519,2014-05-22,0.00344
1584891,2014-05-22,7.53e-5
1583811,2014-05-22,0.00259
1583809,2014-05-22,7.76e-5
1584962,2014-05-22,1.25e-4
1587844,2014-05-22,0.00404
1585771,2014-05-22,2.31e-4
1595380,2014-05-22,4.15e-4
1585484,2014-05-22,5e-5
1583890,2014-05-22,4.52e-4
1588623,2014-05-22,1.56e-4
1587863,2014-05-22,2.21e-4
1585009,2014-05-22,0.00155
1585010,2014-05-22,5e-5
1585015,2014-05-22,8.02e-4
1584798,2014-05-22,3.81e-4
1583940,2014-05-22,5.84e-5
1583943,2014-05-22,4.31e-4
1587645,2014-05-22,0.0076
1586483,2014-05-22,2.23e-4
1585543,2014-05-22,0.0135
1585444,2014-05-22,0.00417
1586141,2014-05-22,0.00689
1586543,2014-05-22,0.00314
1584949,2014-05-22,1.73e-4
1586527,2014-05-22,0.0129
1589011,2014-05-22,1.07e-4
1584973,2014-05-22,0.0112
1587044,2014-05-22,7.91e-5
1587622,2014-05-22,6.45e-5
1587385,2014-05-22,8.09e-5
1585811,2014-05-22,9.07e-5
1585748,2014-05-22,2.34e-4
1585514,2014-05-22,6.9e-4
1583920,2014-05-22,0.00142
1585809,2014-05-22,1.35e-4
1584910,2014-05-22,0.00147
1585007,2014-05-22,1.42e-4
1584793,2014-05-22,0.00428
1584796,2014-05-22,0.00136
1585013,2014-05-22,1.72e-4
1585574,2014-05-22,5e-5
1586272,2014-05-22,0.00428
1585726,2014-05-22,6.84e-5
1586758,2014-05-22,7.33e-5
1586652,2014-05-22,0.0117
1585536,2014-05-22,1.01e-4
1587155,2014-05-22,1.26e-4
1587654,2014-05-22,0.00425
1585781,2014-05-22,0.005
1587995,2014-05-22,5e-5
1586620,2014-05-22,1.08e-4
1584959,2014-05-22,0.00105
1586273,2014-05-22,5e-5
1584887,2014-05-22,5e-5
1587994,2014-05-23,3.46e-4
1587263,2014-05-23,5.07e-4
1586140,2014-05-23,2.07e-4
1587993,2014-05-23,0.00227
1585715,2014-05-23,0.00392
1589073,2014-05-23,0.00382
1588891,2014-05-23,5e-5
1587065,2014-05-23,1.7e-4
1587880,2014-05-23,5e-5
1585449,2014-05-23,9.75e-5
1587283,2014-05-23,0.00177
1584967,2014-05-23,7.55e-4
1585549,2014-05-23,5e-5
1587055,2014-05-23,3.21e-4
1587233,2014-05-23,0.00195
1586706,2014-05-23,1.47e-4
1587272,2014-05-23,0.0057
1587255,2014-05-23,5e-5
1587175,2014-05-23,5.68e-5
1587916,2014-05-23,0.00764
1587071,2014-05-23,1.03e-4
1588990,2014-05-23,9.31e-4
1587052,2014-05-23,1.43e-4
1586587,2014-05-23,0.00722
1585707,2014-05-23,0.00312
1587240,2014-05-23,5.75e-5
1587988,2014-05-23,5e-5
1587167,2014-05-23,7.09e-5
1586277,2014-05-23,2.42e-4
1586780,2014-05-23,0.0035
1587825,2014-05-23,7.88e-5
1587361,2014-05-23,5e-5
1587842,2014-05-23,0.00707
1585591,2014-05-23,1.65e-4
1587236,2014-05-23,1.41e-4
1586589,2014-05-23,7.95e-4
1585816,2014-05-23,5.49e-5
1585487,2014-05-23,6.78e-5
1585732,2014-05-23,0.00157
1587923,2014-05-23,5e-5
1586276,2014-05-23,8.92e-5
1586997,2014-05-23,0.00158
1584658,2014-05-23,0.00287
1587047,2014-05-23,1.91e-4
1585709,2014-05-23,0.00115
1587063,2014-05-23,7.06e-4
1585443,2014-05-23,1.93e-4
1587265,2014-05-23,0.00135
1587129,2014-05-23,0.0013
1587061,2014-05-23,0.00249
1585662,2014-05-23,0.00293
1585617,2014-05-23,1.43e-4
1587992,2014-05-23,0.00304
1588664,2014-05-23,0.00266
1587060,2014-05-23,1.11e-4
1589016,2014-05-23,8.19e-4
1587883,2014-05-23,1.27e-4
1587254,2014-05-23,8.66e-4
1586508,2014-05-23,1.3e-4
1584770,2014-05-23,5e-5
1587393,2014-05-23,0.00445
1587836,2014-05-23,0.00353
1587280,2014-05-23,0.00582
1587847,2014-05-23,1.4e-4
1587373,2014-05-23,0.0128
1586984,2014-05-23,0.00153
1594067,2014-05-23,0.0336
1588753,2014-05-23,0.00278
1585542,2014-05-23,1.11e-4
1585547,2014-05-23,1.9e-4
1585551,2014-05-23,0.00329
1586588,2014-05-23,1.16e-4
1585565,2014-05-23,0.00469
1586631,2014-05-23,0.00237
1588626,2014-05-23,0.00442
1585581,2014-05-23,5e-5
1584861,2014-05-23,6.96e-4
1588755,2014-05-23,1.64e-4
1586655,2014-05-23,0.00188
1587168,2014-05-23,5e-5
1590439,2014-05-23,1.45e-4
1586761,2014-05-23,5.87e-5
1585744,2014-05-23,5.7e-5
1587848,2014-05-23,1.27e-4
1585763,2014-05-23,5e-5
1588744,2014-05-23,6.05e-4
1584963,2014-05-23,0.00259
1585784,2014-05-23,5e-5
1588672,2014-05-23,1.38e-4
1587918,2014-05-23,5e-5
1585812,2014-05-23,4.51e-4
1587069,2014-05-23,5.79e-5
1587799,2014-05-23,3.35e-4
1589168,2014-05-23,8.95e-4
1585731,2014-05-23,7.91e-5
1587745,2014-05-23,0.00163
1590172,2014-05-23,0.00114
1586778,2014-05-23,8.44e-5
1585790,2014-05-23,5.37e-5
1588949,2014-05-23,1.22e-4
1589174,2014-05-23,5.46e-4
1585736,2014-05-23,1.9e-4
1595284,2014-05-23,0.00165
1587977,2014-05-24,5e-5
1591034,2014-05-24,0.0142
1587391,2014-05-24,7.03e-5
1587403,2014-05-24,1.49e-4
1587375,2014-05-24,0.00401
1587713,2014-05-24,0.0036
1587576,2014-05-24,7.84e-5
1587363,2014-05-24,0.00118
1587026,2014-05-24,0.00612
1587692,2014-05-24,0.00216
1587729,2014-05-24,0.00315
1588972,2014-05-24,1.03e-4
1587650,2014-05-24,0.00246
1587130,2014-05-24,2.71e-4
1587028,2014-05-24,0.00219
1587067,2014-05-25,0.0029
1589070,2014-05-25,0.00377
1588761,2014-05-25,6.24e-4
1587655,2014-05-25,0.00405
1587649,2014-05-25,1.46e-4
1587051,2014-05-25,2.48e-4
1587647,2014-05-25,0.00974
1587316,2014-05-25,0.00201
1587653,2014-05-25,0.00175
1587022,2014-05-25,0.0034
1587049,2014-05-25,0.615
1588993,2014-05-25,0.00145
1588793,2014-05-25,0.00269
1587041,2014-05-25,9.77e-5
1587048,2014-05-25,0.00141
1587620,2014-05-25,0.00234
1587203,2014-05-25,9.39e-4
1585513,2014-05-25,1.2e-4
1588963,2014-05-25,7.58e-4
1587062,2014-05-25,1.03e-4
1587642,2014-05-25,2.66e-4
1585630,2014-05-25,0.00454
1588591,2014-05-25,0.00212
1587945,2014-05-25,1.16e-4
1587646,2014-05-25,7.96e-5
1587788,2014-05-25,1.18e-4
1587652,2014-05-25,0.00697
1589546,2014-05-25,6.06e-5
1589087,2014-05-25,6.95e-5
1589166,2014-05-25,0.00415
1587087,2014-05-25,1.01e-4
1587582,2014-05-25,6.01e-5
1587851,2014-05-25,5e-5
1587395,2014-05-25,1.17e-4
1587887,2014-05-25,1.02e-4
1587399,2014-05-25,0.0238
1587054,2014-05-25,5e-5
1587572,2014-05-25,0.00306
1587402,2014-05-25,7.93e-5
1587059,2014-05-25,9.02e-5
1587040,2014-05-25,0.00565
1587027,2014-05-26,0.00233
1587008,2014-05-26,0.00151
1587635,2014-05-26,0.00121
1589175,2014-05-26,0.00377
1587014,2014-05-26,5.55e-5
1587371,2014-05-26,0.00343
1587043,2014-05-26,0.00413
1588964,2014-05-26,6.68e-4
1587066,2014-05-26,5.74e-5
1587699,2014-05-26,0.00675
1587716,2014-05-26,7.62e-4
1587710,2014-05-26,0.00354
1587154,2014-05-26,7.83e-5
1587793,2014-05-26,1.41e-4
1587577,2014-05-26,4.32e-4
1587359,2014-05-26,2.63e-4
1587285,2014-05-26,0.00301
1587688,2014-05-26,7.08e-5
1587488,2014-05-26,0.00795
1587926,2014-05-26,1.12e-4
1589167,2014-05-26,5.59e-5
1587405,2014-05-26,1.01e-4
1587684,2014-05-26,1.54e-4
1586681,2014-05-26,5e-5
1587656,2014-05-26,0.00157
1587387,2014-05-26,6.05e-5
